ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74,ind75,ind76,ind77,ind78,ind79,ind80,ind81,ind82,ind83,ind84,ind85,ind86,ind87,ind88,ind89,ind90,ind91,ind92,ind93,ind94,ind95,ind96,ind97,ind98,ind99,ind100,ind101,ind102,ind103,ind104,ind105,ind106,ind107,ind108,ind109,ind110,ind111,ind112,ind113,ind114,ind115,ind116,ind117,ind118,ind119,ind120,ind121,ind122,ind123,ind124,ind125,ind126,ind127,ind128,ind129,ind130,ind131,ind132,ind133,ind134,ind135,ind136,ind137,ind138,ind139,ind140,ind141,ind142,ind143,ind144,ind145,ind146,ind147,ind148,ind149,ind150,ind151,ind152,ind153,ind154,ind155,ind156,ind157,ind158,ind159,ind160,ind161,ind162,ind163,ind164,ind165,ind166,ind167,ind168,ind169,ind170,ind171,ind172,ind173,ind174,ind175,ind176,ind177,ind178,ind179,ind180,ind181,ind182,ind183,ind184,ind185,ind186,ind187,ind188,ind189,ind190,ind191,ind192,ind193,ind194,ind195,ind196,ind197,ind198,ind199,ind200
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0909090909090909,0.272727272727273,0.0909090909090909,0,0,0.363636363636364,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0.454545454545455,0,0,0,0,0.0909090909090909,0.363636363636364,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0.181818181818182,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.363636363636364,0,0,0,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0.272727272727273,0.363636363636364,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0,0.0909090909090909,0.272727272727273,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0
0,0.181818181818182,0,0,0,0,0,0,0,0.272727272727273,0,0.363636363636364,0.181818181818182,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.272727272727273,0.181818181818182,0.0909090909090909,0,0,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0.272727272727273,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,0.181818181818182,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.363636363636364,0.181818181818182,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0.363636363636364,0,0,0,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0,0.0909090909090909,0,0,0.363636363636364,0.363636363636364,0.363636363636364,0.181818181818182,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0,0
0,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0,0.272727272727273,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0,0,0,0.0909090909090909,0.363636363636364,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0,0,0.181818181818182,0,0,0.181818181818182,0,0,0.181818181818182,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0.272727272727273,0.181818181818182,0,0,0,0,0,0,0.363636363636364,0.181818181818182,0.181818181818182,0,0,0.181818181818182,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.181818181818182
0.181818181818182,0.272727272727273,0.0909090909090909,0,0.272727272727273,0,0.181818181818182,0.0909090909090909,0.272727272727273,0,0.181818181818182,0.0909090909090909,0.363636363636364,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0.181818181818182,0,0,0.272727272727273,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0,0.181818181818182,0,0.363636363636364,0,0,0.0909090909090909,0,0,0.454545454545455,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.181818181818182,0,0,0,0,0,0,0.272727272727273,0,0.0909090909090909,0.272727272727273,0.272727272727273,0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0,0.0909090909090909,0,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909
0,0.272727272727273,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0.181818181818182,0,0,0.272727272727273,0.272727272727273,0,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0,0,0,0,0.363636363636364,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0,0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0.272727272727273,0,0,0.454545454545455,0,0.181818181818182,0,0,0,0.454545454545455,0.363636363636364,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0,0,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0.181818181818182,0,0.0909090909090909,0.272727272727273,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.181818181818182,0,0,0.272727272727273,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0,0.181818181818182,0,0,0,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0,0
0,0.181818181818182,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0.181818181818182,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.181818181818182,0,0,0.181818181818182,0.181818181818182,0.181818181818182,0,0,0,0,0.0909090909090909,0.272727272727273,0.181818181818182,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0,0,0.181818181818182,0,0.272727272727273,0.181818181818182,0,0,0,0,0.181818181818182,0,0,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0.545454545454545,0,0,0,0.0909090909090909,0,0.272727272727273,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0.181818181818182,0,0,0,0.545454545454545,0,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.545454545454545,0.272727272727273,0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0,0,0,0,0.272727272727273,0
0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0.272727272727273,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.272727272727273,0,0.272727272727273,0,0,0.181818181818182,0,0.0909090909090909,0,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0.272727272727273,0,0.272727272727273,0,0,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0.181818181818182,0,0,0,0,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0,0,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.181818181818182,0,0,0,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0.0909090909090909,0.181818181818182,0,0,0,0,0.181818181818182,0,0.0909090909090909,0,0,0,0
0,0.0909090909090909,0,0,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.272727272727273,0.181818181818182,0.0909090909090909,0,0,0.181818181818182,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.181818181818182,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0.181818181818182,0,0,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0.181818181818182,0,0,0.181818181818182,0,0,0,0,0,0,0.272727272727273,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0
0,0,0.0909090909090909,0.454545454545455,0.181818181818182,0.363636363636364,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.363636363636364,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0,0,0.181818181818182,0,0,0.0909090909090909,0,0.272727272727273,0.363636363636364,0,0,0.181818181818182,0,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0.272727272727273,0.181818181818182,0,0,0,0,0,0.272727272727273,0,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0,0,0,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0,0,0,0.181818181818182,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0.0909090909090909,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0,0,0,0,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0
0,0.0909090909090909,0.363636363636364,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0,0,0.363636363636364,0.0909090909090909,0,0.181818181818182,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.454545454545455,0.181818181818182,0,0,0,0,0,0.0909090909090909,0.272727272727273,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0.272727272727273,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.272727272727273,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0,0,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.272727272727273,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.181818181818182,0,0,0,0.0909090909090909,0
